0,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,0,
0,50,70,79,84,87,88,90,90,91,91,90,90,88,87,84,79,70,50,0,
0,30,50,62,69,74,77,80,81,81,81,81,80,77,74,69,62,50,30,0,
0,21,37,49,58,64,68,70,72,73,73,72,71,68,64,58,49,37,21,0,
0,16,29,40,48,55,59,63,65,66,66,65,63,60,55,49,40,29,16,0,
0,12,24,34,42,48,53,56,58,59,59,58,56,53,48,42,34,24,13,0,
0,11,20,29,37,43,47,51,53,54,54,53,51,48,43,37,29,21,11,0,
0,9.3,18,26,33,39,43,47,49,50,50,49,47,44,39,33,26,18,9.4,0,
0,8.5,17,24,31,36,41,44,47,48,48,47,45,41,37,31,24,17,8.7,0,
0,8.2,16,23,30,35,40,43,45,46,47,45,43,40,36,30,24,16,8.3,0,
0,8.2,16,23,30,35,40,43,45,47,47,46,43,40,36,30,24,16,8.3,0,
0,8.5,17,24,31,37,41,44,47,48,48,47,45,41,37,31,25,17,8.7,0,
0,9.3,18,26,33,39,44,47,49,51,51,49,47,44,39,33,26,18,9.4,0,
0,11,21,29,37,43,48,51,53,54,54,53,51,48,43,37,30,21,11,0,
0,13,24,34,42,48,53,56,58,60,60,59,56,53,48,42,34,24,13,0,
0,16,29,40,49,55,60,63,65,66,66,65,63,60,55,49,40,29,16,0,
0,21,37,49,58,64,68,71,73,73,73,73,71,68,64,58,49,37,21,0,
0,30,50,62,69,74,78,80,81,82,82,81,80,78,74,69,62,50,30,0,
0,50,70,79,84,87,88,90,90,91,91,90,90,88,87,84,79,70,50,0,
0,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,1e+02,0,
